"# Configurações: PROTOCOLO=udp, PRINT_OUTPUT=False, WRITE_TO_FILE=False"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,72.13,50.04,63.90,32.32,3570.39
2,62.95,49.31,48.08,31.34,2764.63
3,64.81,50.42,47.04,31.21,2142.45
4,61.90,49.68,46.21,32.27,4794.03
5,66.04,50.27,49.59,32.31,2682.04
6,63.07,49.89,46.13,32.03,1884.33
7,72.29,49.94,62.78,31.19,2392.60
8,62.84,49.44,47.19,31.56,2105.38
9,63.08,49.64,49.13,32.04,2686.93
10,66.45,49.78,51.24,32.08,2552.68
