Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,640.43,611.59,210.67,142.14,1943.77
2,647.83,615.37,212.60,149.43,2070.51
3,640.71,607.88,220.70,156.41,1927.33
4,626.23,597.64,213.07,129.54,2711.58
5,641.57,610.27,209.39,151.15,1910.30
6,652.18,617.04,210.18,155.05,1825.33
7,643.43,613.61,211.62,166.23,1874.68
8,641.20,610.73,205.70,166.17,2140.69
9,626.65,599.32,213.88,163.30,2493.18
10,616.48,595.63,206.58,147.56,1679.07
